logf, logr, word
1.386294, 4.718499, "jumping"
1.386294, 4.718499, "judge"
1.386294, 4.718499, "individual"
1.386294, 4.718499, "indignantly"
1.386294, 4.718499, "hours"
1.386294, 4.718499, "hope"
1.386294, 4.718499, "honour"
1.386294, 4.718499, "holder"
1.386294, 4.718499, "held"
1.386294, 4.718499, "hearing"
1.386294, 4.718499, "guineapigs"
1.386294, 4.718499, "grunted"
1.386294, 4.718499, "ground"
1.386294, 4.718499, "green"
1.386294, 4.718499, "grass"
1.386294, 4.718499, "girl"
1.386294, 4.718499, "further"
1.386294, 4.718499, "frowning"
1.386294, 4.718499, "french"
